"","Name","Ratings","Language","Year","Num_of_episodes","Genre","Duration","Network","Director","Screenwriter","Top_cast"
"https://mydramalist.com//49231-move-to-heaven","Move to Heaven","9.2","Korean",2021,10,"Life,Drama,Family","Duration: 52 min.","Netflix","Kim Sung Ho","Yoon Ji Ryun","Lee Je Hoon,Tang Jun Sang,Hong Seung Hee,Jung Suk Yong,Jung Young Joo,Lee Moon Shik"
"https://mydramalist.com//36269-doctor-playbook","Hospital Playlist","9.1","Korean",2020,12,"Friendship,Romance,Life,Medical","Duration: 1 hr. 30 min.","Netflix","Shin Won Ho","","Jo Jung Suk,Yoo Yeon Seok,Jung Kyung Ho,Kim Dae Myung,Jeon Mi Do,Shin Hyun Bin"
"https://mydramalist.com//54625-flower-of-evil","Flower of Evil","9.1","Korean",2020,16,"Thriller,Romance,Crime,Melodrama","Duration: 1 hr. 10 min.","Netflix,WeTV,Viki,Hulu,Apple TV","Kim Chul Gyu,Yoon Jong Ho","","Lee Joon Gi,Moon Chae Won,Jang Hee Jin,Seo Hyun Woo,Nam Ki Ae,Son Jong Hak"
"https://mydramalist.com//9025-nirvana-in-fire","Nirvana in Fire","9.1","Chinese",2015,54,"Historical,Wuxia,Drama,Political","Duration: 45 min.","Prime Video,China Zone,China Zone - English,Viki","Kong Sheng,Li Xue","","Hu Ge,Liu Tao,Wang Kai,Chen Long,Victor Huang,Ding Yong Dai"
"https://mydramalist.com//57173-hospital-playlist-2","Hospital Playlist 2","9.1","Korean",2021,12,"Friendship,Romance,Life,Medical","Duration: 1 hr. 40 min.","Netflix,TVING","Shin Won Ho","","Jo Jung Suk,Yoo Yeon Seok,Jung Kyung Ho,Kim Dae Myung,Jeon Mi Do,Shin Hyun Bin"
"https://mydramalist.com//25172-my-ajusshi","My Mister","9.1","Korean",2018,16,"Psychological,Life,Drama,Family","Duration: 1 hr. 17 min.","Netflix,Viki,Apple TV","Park Hae Young","Kim Won Suk,Kim Sang Woo","Lee Sun Kyun,IU,Park Ho San,Song Sae Byuk,Lee Ji Ah,Kim Young Min"
"https://mydramalist.com//22624-wise-prison-life","Prison Playbook","9.1","Korean",2017,16,"Comedy,Crime,Life,Drama","Duration: 1 hr. 32 min.","Netflix","Shin Won Ho","","Park Hae Soo,Jung Kyung Ho,Krystal Jung,Im Hwa Young,Ye Soo Jung,Kim Kyung Nam"
"https://mydramalist.com//28723-the-untamed","The Untamed","9.0","Chinese",2019,50,"Historical,Mystery,Wuxia,Fantasy","Duration: 45 min.","WeTV,TencentVideo,Prime Video,Apple TV,Netflix","Steve Cheng,Chan Ka Lam","","Xiao Zhan,Wang Yi Bo,Wang Zhuo Cheng,Xuan Lu,Liu Hai Kuan,Zhu Zan Jin"
"https://mydramalist.com//697563-kai-duan","Reset","9.0","Chinese",2022,15,"Thriller,Mystery,Sci-Fi","Duration: 45 min.","YoYo English Channel,YoYo TV","Lao Suan","Sun Mo Long","Bai Jing Ting,Zhao Jin Mai,Liu Yi Jun,Liu Tao,Huang Jue,Liu Dan"
"https://mydramalist.com//13544-reply-1988","Reply 1988","9.0","Korean",2015,20,"Comedy,Romance,Life,Youth","Duration: 1 hr. 40 min.","Netflix,Viki,Apple TV","Shin Won Ho,Yoo Hak Chan","","Lee Hye Ri,Go Kyung Pyo,Ryu Joon Yeol,Park Bo Gum,Lee Dong Hwi,Sung Dong Il"
